S.No,Name of Drugs/medical device/cosmetic,Batch No./Date of Manufacture/Date of Expiry/Manufactured By,Reason for failure,Drawn By / From
39.0,"Amoxycillin, Cloxacillin & Lactic Acid Bacillus Capsules Amoxynol Plus LB","B. No.: PRB-220203, Mfg dt: 02/2022, Exp dt: 01/2024, Mfd by: M/s. Preet Remedies Ltd. 183-186, HPSIDC, Industrial Area, Baddi- 173205-Himachal Pradesh.",Assay of Cloxacillin,"Drug Control Department Jharkhand, RDTL Guwahati"
40.0,Ascorbic Acid Tablets IP 500mg,"B. No.: T392012, Mfg dt: 01/2022, Exp dt: 12/2023, Mfd by: M/s. ANG Lifesciences India Ltd. Village Malkumajra, Nalagarh Road, Baddi, Distt. Solan- 173205, Himachal Pradesh.",Description,"Drug Control Department Assam, RDTL Guwahati"
41.0,CIPROFLOXACIN HYDROCHLORIDE TABLETS I.P. 500 mg,"B. No.: 0701122, Mfg dt: 05/2022, Exp dt: 04/2025, Mfd by: M/s. KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LIMITED, Plot No. 14, II Phase, Peenya, Bengaluru - 560 058.",Dissolution,"Drug Control Department Jharkhand, RDTL Guwahati"
42.0,Calcium & Vitamin D3 Tablets I. P.,"B. No.: RT-221004, Mfg dt: 10/2022, Exp dt: 03/2024, Mfd by: M/s. Relief Biotech Pvt. Ltd. Khasra No. 72, Makhyali Dundi, Peerpura Road, Roorkee, Byepass, Deli Road, Manglour, Roorkee-247656, Haridwar, Uttarakhand.",Identification and Assay of Vitamin D3,"Drug Control Department Bihar, RDTL Guwahati"
43.0,Calcium & Vitamin D3 Tablets I. P. (Calcidoc-500),"B. No.: T2030158A, Mfg dt: 03/2022, Exp dt: 02/2024, Mfd by: M/s. ION Healthcare Pvt. Ltd. Baddi - Barotiwala Road, Baddi, Distt. Solan, Himachal Pradesh 173205.",Assay of Vitamin D3,"Drug Control Department Jharkhand, RDTL Guwahati"
44.0,Calcium & Vitamin D3 Tablets I.P.,"B. No.: RT-221008, Mfg dt: 10/2022, Exp dt: 03/2024, Mfd by: M/s. Relief Biotech Pvt. Ltd. Khasra No. 72, Makhyali Dundi, Peerpura Road, Roorkee Bypass, Delhi Road, Manglour, Roorkee-247656, Haridwar, Uttarakhand.",Assay of Vitamin D3,"Drug Control Department Bihar, RDTL Guwahati"
45.0,O2 (Ofloxacin & Ornidazole Tablets I.P.),"B. No.: E20034, Mfg dt: 01/2022, Exp dt: 12/2024, Mfd by: M/s. Medley Pharmaceutical Ltd. Lane No. 3, Phase-1, SIDCO Industrial Complex, Bari Brahmama, Jammu- 181133.",Identification and Assay of Ofloxacin & Ornidazole,"Drug Control Department Assam, RDTL Guwahati"
46.0,CIPROFLOXACIN HYDROCHLORIDE TABLETS I.P. 500 mg,"B. No.: KA3202, Mfg dt: 01/2022, Exp dt: 12/2024, Mfd by: M/s. Karnataka Antibiotics & Pharmaceuticals Limited, Plot No. 37, Site No.34/4, NTTF Main Road, II Phase, Peenya, Bengaluru - 560058, India.",Dissolution,"Drug Control Department Jharkhand, RDTL Guwahati"
47.0,ALCIFLOX 500 (Ciprofloxacin Tablets I.P.),"B. No.: ACT22004SL, Mfg dt: 02/2022, Exp dt: 01/2025, Mfd by: M/s. Shiva Biogenetic Laboratories Pvt. Ltd. village Manpura, Baddi, Dist. Solan, Himachal Pradesh-174101.",Dissolution,"Drug Control Department Jharkhand, RDTL Guwahati"
48.0,Telmisartan Tablets IP 40 mg,"B. No.: T101004, Mfg dt: 09/2021, Exp dt: 08/2023, Mfd by: M/s. ANG Lifesciences India Ltd. Village Malkumajra, Nalagarh Road, Baddi, Distt. Solan- 173205-Himachal Pradesh.",Dissolution & Description,"Drug Control Department Bihar, RDTL Guwahati"
